country,granularity,year,population
Bangladesh,Urban,2020,64814.953
Bangladesh,Total,2021,167658.855
Bangladesh,Male,2021,82572.34
Bangladesh,Female,2021,85086.514
Bangladesh,Rural,2021,104707.739
Bangladesh,Urban,2021,66791.896
Bangladesh,Total,2022,169384.897
Bangladesh,Male,2022,83399.395
Bangladesh,Female,2022,85985.503
Bangladesh,Rural,2022,104437.419
Bangladesh,Urban,2022,68791.79
Bangladesh,Total,2023,171466.99
Bangladesh,Male,2023,84357.711
Bangladesh,Female,2023,87109.279
Bangladesh,Rural,2023,104140.792
Bangladesh,Urban,2023,70806.614
Barbados,Total,2019,281.207
Barbados,Male,2019,134.819
Barbados,Female,2019,146.388
Barbados,Rural,2019,197.584
Barbados,Urban,2019,89.426
Barbados,Total,2020,281.698
Barbados,Male,2020,135.102
Barbados,Female,2020,146.595
Barbados,Rural,2020,197.873
Barbados,Urban,2020,89.695
Barbados,Total,2021,282.147
Barbados,Male,2021,135.357
Barbados,Female,2021,146.79
Barbados,Rural,2021,198.059
Barbados,Urban,2021,90.012
Barbados,Total,2022,282.318
Barbados,Male,2022,135.411
Barbados,Female,2022,146.906
Barbados,Rural,2022,198.149
Barbados,Urban,2022,90.38
Barbados,Total,2023,282.336
Barbados,Male,2023,135.364
Barbados,Female,2023,146.971
Barbados,Rural,2023,198.133
Barbados,Urban,2023,90.795
Belarus,Total,2019,9435.419
Belarus,Male,2019,4398.714
Belarus,Female,2019,5036.706
Belarus,Rural,2019,1976.92
Belarus,Urban,2019,7456.954
Belarus,Total,2020,9350.944
Belarus,Male,2020,4358.798
Belarus,Female,2020,4992.146
Belarus,Rural,2020,1931.795
Belarus,Urban,2020,7483.636
Belarus,Total,2021,9251.365
Belarus,Male,2021,4310.859
Belarus,Female,2021,4940.507
Belarus,Rural,2021,1887.9
Belarus,Urban,2021,7509.15
Belarus,Total,2022,9173.237
Belarus,Male,2022,4274.359
Belarus,Female,2022,4898.877
Belarus,Rural,2022,1845.056
Belarus,Urban,2022,7532.874
Belarus,Total,2023,9115.68
Belarus,Male,2023,4248.248
Belarus,Female,2023,4867.432
Belarus,Rural,2023,1803.173
Belarus,Urban,2023,7554.508
Belgium,Total,2019,11490.618
Belgium,Male,2019,5663.949
Belgium,Female,2019,5826.669
Belgium,Rural,2019,226.556
Belgium,Urban,2019,11336.228
Belgium,Total,2020,11540.107
Belgium,Male,2020,5691.736
Belgium,Female,2020,5848.37
Belgium,Rural,2020,223.197
Belgium,Urban,2020,11396.775
Belgium,Total,2021,11570.844
Belgium,Male,2021,5705.524
Belgium,Female,2021,5865.32
Belgium,Rural,2021,219.756
Belgium,Urban,2021,11449.399
Belgium,Total,2022,11641.82
Belgium,Male,2022,5737.608
Belgium,Female,2022,5904.212
Belgium,Rural,2022,216.26
Belgium,Urban,2022,11495.076
Belgium,Total,2023,11712.893
Belgium,Male,2023,5773.561
Belgium,Female,2023,5939.332
Belgium,Rural,2023,212.749
Belgium,Urban,2023,11535.808
Belize,Total,2019,385.829
Belize,Male,2019,194.424
Belize,Female,2019,191.404
Belize,Rural,2019,211.248
Belize,Urban,2019,178.983
Belize,Total,2020,390.812
Belize,Male,2020,196.763
Belize,Female,2020,194.048
Belize,Rural,2020,214.825
Belize,Urban,2020,183.182
Belize,Total,2021,395.346
Belize,Male,2021,198.903
Belize,Female,2021,196.444
Belize,Rural,2021,218.296
Belize,Urban,2021,187.469
Belize,Total,2022,402.733
Belize,Male,2022,202.913
Belize,Female,2022,199.82
Belize,Rural,2022,221.658
Belize,Urban,2022,191.851
Belize,Total,2023,411.106
Belize,Male,2023,207.487
Belize,Female,2023,203.619
Belize,Rural,2023,224.893
Belize,Urban,2023,196.317
Benin,Total,2019,12726.755
Benin,Male,2019,6372.298
Benin,Female,2019,6354.457
Benin,Rural,2019,6153.211
Benin,Urban,2019,5648.384
Benin,Total,2020,13070.169
Benin,Male,2020,6546.526
Benin,Female,2020,6523.643
Benin,Rural,2020,6253.682
Benin,Urban,2020,5869.303
Benin,Total,2021,13413.417
Benin,Male,2021,6720.676
Benin,Female,2021,6692.742
Benin,Rural,2021,6352.738
Benin,Urban,2021,6096.875
Benin,Total,2022,13759.501
Benin,Male,2022,6896.458
Benin,Female,2022,6863.042
Benin,Rural,2022,6450.295
Benin,Urban,2022,6331.216
Benin,Total,2023,14111.034
Benin,Male,2023,7074.605
Benin,Female,2023,7036.429
Benin,Rural,2023,6546.285
Benin,Urban,2023,6572.44
Bermuda,Total,2019,64.107
Bermuda,Male,2019,31.604
Bermuda,Female,2019,32.503
Bermuda,Rural,2019,0
Bermuda,Urban,2019,60.833
Bermuda,Total,2020,64.382
Bermuda,Male,2020,31.671
Bermuda,Female,2020,32.711
Bermuda,Rural,2020,0
Bermuda,Urban,2020,60.639
Bermuda,Total,2021,64.648
Bermuda,Male,2021,31.732
Bermuda,Female,2021,32.916
Bermuda,Rural,2021,0
Bermuda,Urban,2021,60.472
Bermuda,Total,2022,64.749
Bermuda,Male,2022,31.733
Bermuda,Female,2022,33.016
Bermuda,Rural,2022,0
Bermuda,Urban,2022,60.354
Bermuda,Total,2023,64.698
Bermuda,Male,2023,31.68
Bermuda,Female,2023,33.019
Bermuda,Rural,2023,0
Bermuda,Urban,2023,60.256
Bhutan,Total,2019,764.824
Bhutan,Male,2019,410.863
Bhutan,Female,2019,353.962
Bhutan,Rural,2019,482.419
Bhutan,Urban,2019,343.81
Bhutan,Total,2020,770.006
Bhutan,Male,2020,413.208
Bhutan,Female,2020,356.798
Bhutan,Rural,2020,481.8
Bhutan,Urban,2020,353.445
Bhutan,Total,2021,775.442
Bhutan,Male,2021,415.688
Bhutan,Female,2021,359.754
