Code zone (M49),Zone,Élément,Produit,Année,Unité,Valeur
344,Chine - RAS de Hong-Kong,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,7067
344,Chine - RAS de Hong-Kong,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,7196
156,"Chine, continentale",Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,3122.8
156,"Chine, continentale",Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,1966.2
156,"Chine, continentale",Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,2830.9
156,"Chine, continentale",Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,3408.3
196,Chypre,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,2707.7
196,Chypre,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,2708.1
196,Chypre,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,2565
196,Chypre,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,2645.2
170,Colombie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,2532.2
170,Colombie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,3288.1
170,Colombie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3465.3
170,Colombie,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2023,USD,3569.1
178,Congo,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2020,USD,4064.6
178,Congo,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2021,USD,4210.5
178,Congo,Prix à la Production (USD/tonne),"Viande, poulet, fraîche ou réfrigérée",2022,USD,3736.5
